restaurant_name,city,locality,cuisines,cost,currency,price_range,rating,votes,cost_bucket,primary_cuisine
The Chicken Dinesty,bhubaneshwar,Chandrasekharpur,"fast food, north indian, chinese",500,Indian Rupees(Rs.),2,3.9,247,Medium,fast food
Taste Of China,bhubaneshwar,Chandrasekharpur,chinese,500,Indian Rupees(Rs.),2,4.0,145,Medium,chinese
Michael's Kitchen,bhubaneshwar,Gajapati Nagar,"north indian, asian, european",850,Indian Rupees(Rs.),2,3.7,118,High,north indian
Mamma Mia - Mayfair Lagoon,bhubaneshwar,"Mayfair Lagoon, Jayadev Vihar","cafe, italian, mexican, bakery",1400,Indian Rupees(Rs.),3,4.1,256,High,cafe
99 North Restaurant,bhubaneshwar,Patia,"north indian, chinese",450,Indian Rupees(Rs.),1,3.6,173,Medium,north indian
Adda,bhubaneshwar,Patia,"north indian, chinese, mexican, beverages",600,Indian Rupees(Rs.),2,3.8,424,Medium,north indian
Chill Ummm,bhubaneshwar,Patia,"chinese, north indian, cafe",450,Indian Rupees(Rs.),1,3.7,338,Medium,chinese
Lal Qila,bhubaneshwar,Patia,"mughlai, chinese, north indian",500,Indian Rupees(Rs.),2,3.7,228,Medium,mughlai
Richard's Kitchen & Coffee Bar,bhubaneshwar,Patia,"cafe, chinese, fast food, seafood",450,Indian Rupees(Rs.),1,3.8,253,Medium,cafe
Aangan Horizon,bhubaneshwar,Patia,"north indian, chinese, continental",900,Indian Rupees(Rs.),2,4.0,90,High,north indian
Brewberrys The Coffee Bar,bhubaneshwar,Patia,cafe,400,Indian Rupees(Rs.),1,4.0,197,Medium,cafe
Chai Break,bhubaneshwar,Patia,"italian, cafe, chinese, continental",800,Indian Rupees(Rs.),2,4.3,69,High,italian
JUGAAD JN.,bhubaneshwar,Patia,"north indian, rajasthani",300,Indian Rupees(Rs.),1,4.1,199,Medium,north indian
Cha cTea,bhubaneshwar,Sahid Nagar,"cafe, tea",500,Indian Rupees(Rs.),2,3.8,56,Medium,cafe
Food Fever,bhubaneshwar,Sahid Nagar,"chinese, north indian",900,Indian Rupees(Rs.),2,4.2,49,High,chinese
Mainland China,bhubaneshwar,"The Crown, Nayapalli",chinese,1500,Indian Rupees(Rs.),3,4.3,345,High,chinese
Eram Rooftop,bhubaneshwar,Unit 4,"asian, continental",400,Indian Rupees(Rs.),1,3.5,89,Medium,asian
The Night Factory,chandigarh,Chandigarh Industrial Area,"north indian, chinese, continental, pizza",850,Indian Rupees(Rs.),2,3.7,665,High,north indian
Brooklyn Central,chandigarh,"Elante Mall, Chandigarh Industrial Area","american, cafe",1600,Indian Rupees(Rs.),3,4.2,676,High,american
Chili's,chandigarh,"Elante Mall, Chandigarh Industrial Area","mexican, american, italian",1400,Indian Rupees(Rs.),3,4.3,970,High,mexican
Kylin Experience,chandigarh,"Elante Mall, Chandigarh Industrial Area","japanese, chinese, thai, malaysian, burmese, asian",1600,Indian Rupees(Rs.),3,4.1,300,High,japanese
Mocha,chandigarh,"Elante Mall, Chandigarh Industrial Area","continental, italian, thai, finger food",1400,Indian Rupees(Rs.),3,4.0,428,High,continental
Pirates of Grill,chandigarh,"Elante Mall, Chandigarh Industrial Area","north indian, continental, asian",1200,Indian Rupees(Rs.),3,4.0,1022,High,north indian
Barbeque Nation,chandigarh,Sector 26,"north indian, chinese",1300,Indian Rupees(Rs.),3,4.5,1450,High,north indian
TGI Friday's,chandigarh,Sector 26,"american, tex-mex",1800,Indian Rupees(Rs.),3,4.3,228,High,american
Pal Dhaba,chandigarh,Sector 28,north indian,700,Indian Rupees(Rs.),2,3.8,982,High,north indian
Midnight Chef,chandigarh,Sector 35,"north indian, chinese, continental, italian, burger",1000,Indian Rupees(Rs.),3,3.4,502,High,north indian
Nik Baker's,chandigarh,Sector 35,"bakery, desserts, cafe",650,Indian Rupees(Rs.),2,4.1,698,Medium,bakery
OvenFresh,chandigarh,Sector 35,"cafe, bakery",650,Indian Rupees(Rs.),2,4.1,397,Medium,cafe
Super Donuts,chandigarh,Sector 35,"burger, fast food, desserts, beverages",450,Indian Rupees(Rs.),1,4.0,265,Medium,burger
Taco Bell,chandigarh,Sector 35,"mexican, fast food",600,Indian Rupees(Rs.),2,4.2,252,Medium,mexican
Karim's,chandigarh,Sector 7,"mughlai, north indian",800,Indian Rupees(Rs.),2,3.3,86,High,mughlai
Virgin Courtyard,chandigarh,Sector 7,italian,2200,Indian Rupees(Rs.),4,4.4,817,High,italian
Burgrill,chandigarh,Sector 8,"burger, fast food",500,Indian Rupees(Rs.),2,4.5,249,Medium,burger
Uncle Jack's,chandigarh,Sector 8,"desserts, american",600,Indian Rupees(Rs.),2,4.0,356,Medium,desserts
That Madras Place,chennai,Adyar,"european, italian, desserts",800,Indian Rupees(Rs.),2,4.2,1810,High,european
Haunted,chennai,Anna Nagar East,"north indian, chinese, arabian",800,Indian Rupees(Rs.),2,3.8,519,High,north indian
Pantry d'or,chennai,Anna Nagar East,"continental, cafe, italian, desserts",750,Indian Rupees(Rs.),2,4.4,1504,High,continental
Palmshore,chennai,Ashok Nagar,"north indian, mughlai, chinese, south indian",850,Indian Rupees(Rs.),2,4.2,841,High,north indian
Chili's,chennai,"Express Avenue Mall,  Royapettah","mexican, american, tex-mex, burger",1700,Indian Rupees(Rs.),3,4.8,1262,High,mexican
Writer's Cafe,chennai,Gopalapuram,"cafe, european",450,Indian Rupees(Rs.),1,4.2,191,Medium,cafe
Fusilli Reasons,chennai,Kilpauk,italian,350,Indian Rupees(Rs.),1,4.6,1510,Medium,italian
Ciclo Cafe,chennai,Kotturpuram,"cafe, continental",1100,Indian Rupees(Rs.),3,4.1,1004,High,cafe
Kaidi Kitchen,chennai,Mylapore,"italian, mexican, chinese, thai, north indian",1500,Indian Rupees(Rs.),3,4.0,1820,High,italian
Bombay Brasserie,chennai,Nungambakkam,north indian,1200,Indian Rupees(Rs.),3,4.6,1753,High,north indian
Maplai,chennai,Nungambakkam,"south indian, chettinad",1000,Indian Rupees(Rs.),3,4.2,1714,High,south indian
Paradise,chennai,Perungudi,"biryani, north indian",900,Indian Rupees(Rs.),2,3.8,1317,High,biryani
L'amandier,chennai,RA Puram,"european, cafe, italian",1200,Indian Rupees(Rs.),3,4.3,1607,High,european
Palmshore,chennai,Ramapuram,"north indian, mughlai, chinese, south indian",850,Indian Rupees(Rs.),2,4.4,645,High,north indian
Palmshore,chennai,Santhome,"north indian, mughlai, chinese, south indian",850,Indian Rupees(Rs.),2,4.3,742,High,north indian
Basil With A Twist,chennai,T. Nagar,"continental, cafe, spanish, italian, european, greek, mediterranean",1500,Indian Rupees(Rs.),3,4.5,1210,High,continental
Barbeque Nation,chennai,T. Nagar,"north indian, continental",2000,Indian Rupees(Rs.),4,4.4,3848,High,north indian
AB's - Absolute Barbecues,chennai,Velachery,"north indian, european, mediterranean",1600,Indian Rupees(Rs.),3,4.9,859,High,north indian
Coal Barbecues,chennai,Velachery,"north indian, mediterranean, asian, arabian",1400,Indian Rupees(Rs.),3,4.6,1267,High,north indian
Pind,chennai,Velachery,"north indian, chinese",900,Indian Rupees(Rs.),2,4.0,2272,High,north indian
Kuchi n Kream,coimbatore,Gandhipuram,"cafe, continental, fast food",800,Indian Rupees(Rs.),3,4.6,202,High,cafe
Haribhavanam Hotel,coimbatore,Peelamedu,"south indian, chettinad, north indian",600,Indian Rupees(Rs.),2,3.9,318,Medium,south indian
Kites Cafe,coimbatore,Peelamedu,cafe,400,Indian Rupees(Rs.),2,3.8,124,Medium,cafe
Zucca Pizzeria,coimbatore,Peelamedu,pizza,600,Indian Rupees(Rs.),2,3.5,274,Medium,pizza
Burger Ka Baap,coimbatore,Peelamedu,fast food,500,Indian Rupees(Rs.),2,4.3,147,Medium,fast food
The Cascade Restaurant,coimbatore,Peelamedu,chinese,1200,Indian Rupees(Rs.),3,4.1,243,High,chinese
24 Plus Cafe & Restaurant,coimbatore,Podanur,"continental, fast food, desserts, indian",450,Indian Rupees(Rs.),2,3.8,24,Medium,continental
Valarmathi Kongunaatu Samayal,coimbatore,Race Course,"south indian, biryani",350,Indian Rupees(Rs.),2,4.5,380,Medium,south indian
Bird On Tree,coimbatore,Race Course,"continental, chinese, thai, malaysian, north indian",1200,Indian Rupees(Rs.),3,3.8,221,High,continental
Tim's Bistro,coimbatore,Race Course,"north indian, continental",700,Indian Rupees(Rs.),2,3.9,85,High,north indian
Batlivala & Khanabhoy,coimbatore,Race Course,"parsi, north indian",1200,Indian Rupees(Rs.),3,4.2,40,High,parsi
Cafe Totaram,coimbatore,Race Course,"cafe, fast food",600,Indian Rupees(Rs.),2,4.0,132,Medium,cafe
Cream Centre,coimbatore,Race Course,"north indian, chinese, italian, mexican",1000,Indian Rupees(Rs.),3,4.0,203,High,north indian
On The Go,coimbatore,Race Course,"italian, north indian, desserts",1500,Indian Rupees(Rs.),4,4.0,215,High,italian
Sree Annapoorna,coimbatore,RS Puram,"south indian, north indian, chinese",400,Indian Rupees(Rs.),2,4.3,225,Medium,south indian
That's Y Food,coimbatore,RS Puram,"north indian, biryani",1400,Indian Rupees(Rs.),3,4.2,299,High,north indian
CakeBee,coimbatore,Saibaba Colony,"bakery, desserts",350,Indian Rupees(Rs.),2,4.9,200,Medium,bakery
Yari,coimbatore,Saibaba Colony,"north indian, chinese, street food",700,Indian Rupees(Rs.),2,4.2,221,High,north indian
Cream Stone,coimbatore,"SMS Hotel, Peelamedu","desserts, ice cream",300,Indian Rupees(Rs.),1,4.3,161,Medium,desserts
Barbeque Nation,coimbatore,Town Hall,"north indian, european, mediterranean",1400,Indian Rupees(Rs.),3,4.4,505,High,north indian
The Punjabi Essence Restaurant,dehradun,Chukkuwala,"north indian, chinese",800,Indian Rupees(Rs.),3,3.6,102,High,north indian
Tirupati Restaurant,dehradun,Chukkuwala,"south indian, north indian, chinese",500,Indian Rupees(Rs.),3,3.8,115,Medium,south indian
Anandam,dehradun,Hathibarkala Salwala,"desserts, north indian, chinese, south indian, fast food, street food",650,Indian Rupees(Rs.),3,3.9,141,Medium,desserts
Town Table Restaurant,dehradun,Hathibarkala Salwala,"north indian, chinese, continental",1000,Indian Rupees(Rs.),4,3.9,173,High,north indian
Kalsang Friends Corner,dehradun,Hathibarkala Salwala,"chinese, thai, tibetan",750,Indian Rupees(Rs.),3,4.2,406,High,chinese
The Great Indian Pub,dehradun,Jakhan,north indian,1500,Indian Rupees(Rs.),4,4.9,50,High,north indian
BMG - All Day Dining,dehradun,Jakhan,"chinese, north indian, fast food",0,Indian Rupees(Rs.),1,4.3,63,Low,chinese
Punjab Grill,dehradun,Jakhan,"mughlai, north indian",1250,Indian Rupees(Rs.),4,4.0,98,High,mughlai
TBistro,dehradun,Karanpur,"north indian, chinese",550,Indian Rupees(Rs.),3,3.8,230,Medium,north indian
Y Cafe & Restaurant,dehradun,Karanpur,cafe,500,Indian Rupees(Rs.),3,4.0,94,Medium,cafe
Eddie's Patisserie,dehradun,Krishna Nagar,bakery,350,Indian Rupees(Rs.),2,4.1,64,Medium,bakery
First Gear Cafe,dehradun,Malsi,"cafe, chinese",700,Indian Rupees(Rs.),3,3.9,131,High,cafe
Dunkin Donuts,dehradun,"Pacific Mall, Jakhan","burger, desserts",600,Indian Rupees(Rs.),3,3.9,101,Medium,burger
Doon Darbar,dehradun,Paltan Bazaar,"north indian, mughlai",600,Indian Rupees(Rs.),3,3.9,121,Medium,north indian
Razzmatazz,dehradun,Race Course,cafe,400,Indian Rupees(Rs.),2,3.9,39,Medium,cafe
Barbeque Nation,dehradun,Rajpur,"north indian, mediterranean, asian, chinese",1600,Indian Rupees(Rs.),4,4.4,66,High,north indian
Black Pepper Restaurant,dehradun,Rajpur,"north indian, chinese",1200,Indian Rupees(Rs.),4,4.0,175,High,north indian
Cafe Marigold,dehradun,Rajpur,"cafe, chinese, fast food",500,Indian Rupees(Rs.),3,4.1,104,Medium,cafe
Jalapenos,dehradun,Rajpur,"cafe, mexican",500,Indian Rupees(Rs.),3,4.2,68,Medium,cafe
Kalsang AMA Cafe,dehradun,Rajpur,cafe,600,Indian Rupees(Rs.),3,4.2,89,Medium,cafe
Desire Foods,faridabad,Badarpur Border,"chinese, fast food, bakery",250,Indian Rupees(Rs.),1,2.9,4,Low,chinese
Knight Rock,faridabad,Badarpur Border,"north indian, chinese",500,Indian Rupees(Rs.),2,2.8,16,Medium,north indian
Punjab Restaurant,faridabad,Badarpur Border,north indian,150,Indian Rupees(Rs.),1,2.8,8,Low,north indian
Raju Dhaba,faridabad,Badarpur Border,north indian,150,Indian Rupees(Rs.),1,2.9,8,Low,north indian
Rakheja Bakery,faridabad,Badarpur Border,bakery,100,Indian Rupees(Rs.),1,2.8,7,Low,bakery
Snax Points,faridabad,Badarpur Border,"chinese, north indian, fast food",300,Indian Rupees(Rs.),1,3.0,4,Medium,chinese
Aggarwal Sweet Corner,faridabad,Badarpur Border,mithai,100,Indian Rupees(Rs.),1,0.0,1,Low,mithai
Kashyap Vaishno Dhaba,faridabad,Badarpur Border,north indian,100,Indian Rupees(Rs.),1,0.0,3,Low,north indian
Total Food Court,faridabad,Badarpur Border,"north indian, mughlai, chinese",400,Indian Rupees(Rs.),1,0.0,3,Medium,north indian
The Chaiwalas,faridabad,Badkal Lake,cafe,300,Indian Rupees(Rs.),1,0.0,0,Medium,cafe
Cafe And More,faridabad,Charmwood Village,"fast food, north indian",300,Indian Rupees(Rs.),1,2.9,4,Medium,fast food
Green Chick Chop,faridabad,Charmwood Village,"raw meats, north indian, fast food",350,Indian Rupees(Rs.),1,3.0,7,Medium,raw meats
Kolkata Hot Kathi Rolls,faridabad,Charmwood Village,"fast food, chinese",300,Indian Rupees(Rs.),1,2.9,11,Medium,fast food
Aapki Rasoi,faridabad,Charmwood Village,north indian,200,Indian Rupees(Rs.),1,0.0,1,Low,north indian
Fusion Food Corner,faridabad,Charmwood Village,"north indian, chinese",300,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
Punjabi Rasoi,faridabad,Charmwood Village,north indian,400,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
Kebab Xpress,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","north indian, mughlai",600,Indian Rupees(Rs.),2,2.8,49,Medium,north indian
McDonald's,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","fast food, burger",500,Indian Rupees(Rs.),2,3.4,58,Medium,fast food
Suruchi,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","north indian, south indian, gujarati, rajasthani",700,Indian Rupees(Rs.),2,3.4,233,High,north indian
Berco's,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","chinese, thai",1100,Indian Rupees(Rs.),3,3.8,508,High,chinese
Dunkin' Donuts,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","burger, desserts, fast food",600,Indian Rupees(Rs.),2,3.6,98,Medium,burger
The Chocolate Room,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","cafe, desserts",900,Indian Rupees(Rs.),2,3.6,59,High,cafe
Baskin Robbin,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",desserts,300,Indian Rupees(Rs.),1,0.0,0,Medium,desserts
Popcorn Fusion,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",fast food,200,Indian Rupees(Rs.),1,0.0,1,Low,fast food
Subway,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","american, fast food, salad, healthy food",500,Indian Rupees(Rs.),2,0.0,2,Medium,american
KFC,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad","american, fast food, burger",500,Indian Rupees(Rs.),2,2.1,57,Medium,american
Barbeque Nation,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",north indian,1600,Indian Rupees(Rs.),3,4.0,299,High,north indian
Yo! China,faridabad,"Crown Interiorz Mall, Sector 35, Faridabad",chinese,1300,Indian Rupees(Rs.),3,4.1,239,High,chinese
Giani's,faridabad,"Crown Plaza Mall, Sector 15, Faridabad","ice cream, desserts",400,Indian Rupees(Rs.),1,3.2,16,Medium,ice cream
Momo-Cha,faridabad,"Crown Plaza Mall, Sector 15, Faridabad",fast food,200,Indian Rupees(Rs.),1,2.7,16,Low,fast food
Shree Rathnam,faridabad,"Crown Plaza Mall, Sector 15, Faridabad","south indian, north indian, chinese",800,Indian Rupees(Rs.),2,3.4,48,High,south indian
Mirage Restro Bar,faridabad,"Crown Plaza Mall, Sector 15, Faridabad","north indian, mughlai",1000,Indian Rupees(Rs.),3,2.4,25,High,north indian
Jai Jagannath Hotel,faridabad,Dayal Bagh,south indian,200,Indian Rupees(Rs.),1,0.0,3,Low,south indian
Gelato Vinto,faridabad,"Eldeco Station 1 Mall, Sector 12, Faridabad","desserts, ice cream",250,Indian Rupees(Rs.),1,2.8,12,Low,desserts
Maggi Point,faridabad,"Eldeco Station 1 Mall, Sector 12, Faridabad",fast food,200,Indian Rupees(Rs.),1,0.0,2,Low,fast food
Angaar,faridabad,"Hotel Saffron Kiran, Faridabad","north indian, chinese",1200,Indian Rupees(Rs.),3,0.0,0,High,north indian
TcozY,faridabad,"Hotel Saffron Kiran, Faridabad",cafe,1500,Indian Rupees(Rs.),3,0.0,0,High,cafe
The Retriever,faridabad,"Hotel Saffron Kiran, Faridabad","north indian, mughlai, chinese",1500,Indian Rupees(Rs.),3,0.0,0,High,north indian
Bangali Sweets & Restaurant,faridabad,Indraprastha Colony,mithai,100,Indian Rupees(Rs.),1,0.0,2,Low,mithai
Silver,faridabad,K Hotel,"north indian, chinese, continental",1500,Indian Rupees(Rs.),3,0.0,3,High,north indian
Chill 'N Grill,faridabad,NIT,north indian,300,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
Punjabi Restaurant,faridabad,NIT,"north indian, mughlai",500,Indian Rupees(Rs.),2,0.0,0,Medium,north indian
Standard Chicken Point,faridabad,NIT,mughlai,500,Indian Rupees(Rs.),2,0.0,0,Medium,mughlai
The Grillz & Gravy,faridabad,NIT,"north indian, chinese",400,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
Cakes 'n Bakes - Park Plaza,faridabad,"Park Plaza, Sector 21, Faridabad",bakery,1000,Indian Rupees(Rs.),3,3.0,15,High,bakery
Cafe Bite,faridabad,"Parsavnath City Mall, Sector 12, Faridabad",cafe,500,Indian Rupees(Rs.),2,3.2,19,Medium,cafe
Cafe Light,faridabad,"Parsavnath City Mall, Sector 12, Faridabad","cafe, chinese, fast food",500,Indian Rupees(Rs.),2,2.8,8,Medium,cafe
Little Cafe,faridabad,"Parsavnath City Mall, Sector 12, Faridabad","fast food, beverages",300,Indian Rupees(Rs.),1,0.0,0,Medium,fast food
Momo-Cha,faridabad,Sector 10,"north indian, chinese",450,Indian Rupees(Rs.),1,2.8,20,Medium,north indian
Oregano India,faridabad,Sector 10,"fast food, chinese, italian",500,Indian Rupees(Rs.),2,3.1,11,Medium,fast food
Sagar Bakery,faridabad,Sector 10,bakery,150,Indian Rupees(Rs.),1,3.0,11,Low,bakery
Smugglers,faridabad,Sector 10,north indian,450,Indian Rupees(Rs.),1,3.1,7,Medium,north indian
Welcome,faridabad,Sector 10,"north indian, chinese",700,Indian Rupees(Rs.),2,2.9,13,High,north indian
Giani's,faridabad,Sector 10,"ice cream, desserts",400,Indian Rupees(Rs.),1,0.0,0,Medium,ice cream
Invitation,faridabad,Sector 10,north indian,700,Indian Rupees(Rs.),2,0.0,3,High,north indian
New Dilight,faridabad,Sector 10,"north indian, mughlai, chinese",500,Indian Rupees(Rs.),2,0.0,0,Medium,north indian
Chimney,faridabad,Sector 11,"north indian, mughlai, chinese",800,Indian Rupees(Rs.),2,3.3,25,High,north indian
Chopstick,faridabad,Sector 11,chinese,300,Indian Rupees(Rs.),1,3.0,22,Medium,chinese
Hot & Tasty Chinese Food,faridabad,Sector 11,"north indian, chinese",450,Indian Rupees(Rs.),1,2.6,26,Medium,north indian
Sanjha Chulha,faridabad,Sector 11,"north indian, mughlai",700,Indian Rupees(Rs.),2,2.9,16,High,north indian
Frontier,faridabad,Sector 12,bakery,200,Indian Rupees(Rs.),1,2.9,7,Low,bakery
Oxy Lounge,faridabad,Sector 12,"north indian, chinese, italian",1500,Indian Rupees(Rs.),3,3.1,28,High,north indian
City Dhaba,faridabad,Sector 12,"north indian, chinese",550,Indian Rupees(Rs.),2,0.0,0,Medium,north indian
Garam Masala,faridabad,Sector 12,"north indian, chinese",400,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
Mittal Fast Food,faridabad,Sector 12,fast food,100,Indian Rupees(Rs.),1,0.0,0,Low,fast food
Al Bake,faridabad,Sector 15,"north indian, chinese",600,Indian Rupees(Rs.),2,3.2,31,Medium,north indian
Anupam Sweet,faridabad,Sector 15,"north indian, south indian, chinese, fast food, mithai",400,Indian Rupees(Rs.),1,3.4,70,Medium,north indian
Cafe Coffee Day,faridabad,Sector 15,cafe,450,Indian Rupees(Rs.),1,3.3,67,Medium,cafe
Chicago Pizza,faridabad,Sector 15,pizza,600,Indian Rupees(Rs.),2,2.7,35,Medium,pizza
Crispy Crust,faridabad,Sector 15,"north indian, chinese, fast food",500,Indian Rupees(Rs.),2,3.4,22,Medium,north indian
Frontier,faridabad,Sector 15,bakery,200,Indian Rupees(Rs.),1,3.3,17,Low,bakery
Gulab,faridabad,Sector 15,"north indian, south indian, fast food, street food, mithai",600,Indian Rupees(Rs.),2,2.6,39,Medium,north indian
Hunger Cure Express,faridabad,Sector 15,"fast food, beverages",500,Indian Rupees(Rs.),2,3.3,35,Medium,fast food
Maitre Patissier,faridabad,Sector 15,bakery,500,Indian Rupees(Rs.),2,3.4,35,Medium,bakery
Momo-Cha,faridabad,Sector 15,"chinese, fast food",400,Indian Rupees(Rs.),1,2.7,32,Medium,chinese
Nirula's,faridabad,Sector 15,"fast food, desserts, ice cream, beverages",950,Indian Rupees(Rs.),2,2.6,14,High,fast food
The Grub House,faridabad,Sector 15,"cafe, north indian, chinese, continental",600,Indian Rupees(Rs.),2,2.7,17,Medium,cafe
Twenty Four Seven,faridabad,Sector 15,"fast food, north indian",300,Indian Rupees(Rs.),1,3.4,35,Medium,fast food
Cafe Parmesan,faridabad,Sector 15,italian,1000,Indian Rupees(Rs.),3,4.5,799,High,italian
Briosca,faridabad,Sector 15,"bakery, fast food",400,Indian Rupees(Rs.),1,3.6,62,Medium,bakery
Burger Point,faridabad,Sector 15,"burger, fast food",300,Indian Rupees(Rs.),1,3.5,24,Medium,burger
Cafe Grub Up,faridabad,Sector 15,"cafe, american, mexican, italian, thai",900,Indian Rupees(Rs.),2,3.8,134,High,cafe
Cakes At Bhawanas,faridabad,Sector 15,bakery,400,Indian Rupees(Rs.),1,3.5,26,Medium,bakery
Chaudhary Bhojnalaya,faridabad,Sector 15,north indian,400,Indian Rupees(Rs.),1,3.6,93,Medium,north indian
Chickenette,faridabad,Sector 15,"raw meats, north indian, chinese, fast food",650,Indian Rupees(Rs.),2,3.7,280,Medium,raw meats
Giani,faridabad,Sector 15,"ice cream, desserts",400,Indian Rupees(Rs.),1,3.6,70,Medium,ice cream
Green Chick Chop,faridabad,Sector 15,"raw meats, north indian, fast food",350,Indian Rupees(Rs.),1,3.5,31,Medium,raw meats
Hash Stix,faridabad,Sector 15,fast food,250,Indian Rupees(Rs.),1,3.6,25,Low,fast food
Juice On Go,faridabad,Sector 15,"juices, beverages",150,Indian Rupees(Rs.),1,3.5,18,Low,juices
Keventers,faridabad,Sector 15,beverages,400,Indian Rupees(Rs.),1,3.6,27,Medium,beverages
MD's Kebabs & Curries,faridabad,Sector 15,"north indian, mughlai, chinese",750,Indian Rupees(Rs.),2,3.8,27,High,north indian
Perfect Bake,faridabad,Sector 15,"bakery, fast food",400,Indian Rupees(Rs.),1,3.5,39,Medium,bakery
Perfect Bake,faridabad,Sector 15,"bakery, fast food",400,Indian Rupees(Rs.),1,3.6,126,Medium,bakery
Sethi's Delicacy,faridabad,Sector 15,"fast food, bakery",150,Indian Rupees(Rs.),1,3.8,75,Low,fast food
Subway,faridabad,Sector 15,"american, fast food, salad, healthy food",500,Indian Rupees(Rs.),2,3.5,143,Medium,american
Cafí© Bogchi,faridabad,Sector 15,"cafe, italian, mexican, continental",650,Indian Rupees(Rs.),2,4.1,153,Medium,cafe
Ashoka Restaurant,faridabad,Sector 16,north indian,400,Indian Rupees(Rs.),1,2.9,43,Medium,north indian
Baskin Robbins,faridabad,Sector 16,ice cream,300,Indian Rupees(Rs.),1,2.9,4,Medium,ice cream
China Hot Pot,faridabad,Sector 16,"chinese, fast food",400,Indian Rupees(Rs.),1,2.5,25,Medium,chinese
Handi Chhadeyan Di,faridabad,Sector 16,north indian,400,Indian Rupees(Rs.),1,3.1,26,Medium,north indian
Hungrill,faridabad,Sector 16,"north indian, chinese, continental",500,Indian Rupees(Rs.),2,3.0,4,Medium,north indian
Kant Khana Khazana,faridabad,Sector 16,north indian,250,Indian Rupees(Rs.),1,3.4,22,Low,north indian
Open Yard,faridabad,Sector 16,"north indian, chinese, continental",800,Indian Rupees(Rs.),2,3.3,14,High,north indian
Recipe Badshah,faridabad,Sector 16,north indian,300,Indian Rupees(Rs.),1,3.1,8,Medium,north indian
The Chai Cafe,faridabad,Sector 16,"cafe, chinese",400,Indian Rupees(Rs.),1,3.1,8,Medium,cafe
Apna Restaurant,faridabad,Sector 16,north indian,400,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
Chaudhary Chaap & Chinese,faridabad,Sector 16,"chinese, north indian",300,Indian Rupees(Rs.),1,0.0,0,Medium,chinese
Chings Chinese,faridabad,Sector 16,chinese,300,Indian Rupees(Rs.),1,0.0,0,Medium,chinese
Food On Wheels,faridabad,Sector 16,chinese,300,Indian Rupees(Rs.),1,0.0,0,Medium,chinese
Gulshan Hotel,faridabad,Sector 16,north indian,250,Indian Rupees(Rs.),1,0.0,2,Low,north indian
Maa Kali Foods,faridabad,Sector 16,chinese,250,Indian Rupees(Rs.),1,0.0,0,Low,chinese
The Street Kitchen,faridabad,Sector 16,"north indian, chinese",400,Indian Rupees(Rs.),1,0.0,0,Medium,north indian
United Kitchen,faridabad,Sector 16,fast food,500,Indian Rupees(Rs.),2,0.0,0,Medium,fast food
Eat N Treat,faridabad,Sector 17,"chinese, north indian",400,Indian Rupees(Rs.),1,2.8,20,Medium,chinese
Hotel Ekant,faridabad,Sector 17,"north indian, mughlai, chinese",700,Indian Rupees(Rs.),2,2.7,39,High,north indian
Momo-Cha,faridabad,Sector 17,"north indian, chinese",600,Indian Rupees(Rs.),2,2.7,56,Medium,north indian
Paradise Inn,faridabad,Sector 17,"north indian, mughlai, chinese",500,Indian Rupees(Rs.),2,2.7,43,Medium,north indian
Red Chilli,faridabad,Sector 17,chinese,300,Indian Rupees(Rs.),1,2.8,9,Medium,chinese
Shiv Restaurant,faridabad,Sector 17,north indian,400,Indian Rupees(Rs.),1,2.7,20,Medium,north indian
Sohan Sweets & Namkeen,faridabad,Sector 17,mithai,100,Indian Rupees(Rs.),1,3.2,41,Low,mithai
The Binge Box Cafe,faridabad,Sector 17,cafe,500,Indian Rupees(Rs.),2,3.4,18,Medium,cafe
Tmos Moving Feast,faridabad,Sector 17,"chinese, north indian",700,Indian Rupees(Rs.),2,3.3,76,High,chinese
Tmos Cafe Corner,faridabad,Sector 17,cafe,700,Indian Rupees(Rs.),2,0.0,1,High,cafe
Parkash Dhaba,faridabad,Sector 19,"north indian, chinese",200,Indian Rupees(Rs.),1,3.0,6,Low,north indian
Sanjha Chulha,faridabad,Sector 19,"north indian, mughlai",700,Indian Rupees(Rs.),2,3.3,219,High,north indian
Hareram Bikanerzaika,faridabad,Sector 21,"mithai, street food",200,Indian Rupees(Rs.),1,2.8,11,Low,mithai
Kulcha Paaji,faridabad,Sector 21,street food,100,Indian Rupees(Rs.),1,3.1,12,Low,street food
